Date,Open,High,Low,Close,Adj Close,Volume,SMA_30,SMA_100,Daily Return,Rolling Volatility,Volume_SMA_30,Momentum,RSI
2019-10-02,8344.21,8393.04,8227.7,8393.04,8393.04,13125712443.0,8414.217666666667,7976.8246,0.016107767684948815,0.035999598200876844,19329993044.5,48.830000000001746,59.978282341117456
2019-10-01,8299.72,8497.69,8232.68,8343.28,8343.28,15305343413.0,8385.674333333334,7981.466700000001,-0.0059287218933783414,0.0359970834490179,18954049360.033333,43.56000000000131,54.248011680414976
2019-09-30,8104.23,8314.23,7830.76,8293.87,8293.87,17115474183.0,8355.279,7983.6068000000005,-0.005922131344027748,0.035996574246998106,18601014113.566666,189.64000000000124,47.311949551659005
2019-09-29,8246.04,8261.71,7990.5,8104.19,8104.19,13034629109.0,8311.162333333334,7983.011799999999,-0.022869902711279644,0.03580610743344384,18087942419.3,-141.85000000000127,43.38689212600345
2019-09-28,8251.27,8285.62,8125.43,8245.92,8245.92,14141152736.0,8277.488000000001,7987.7788,0.01748848435192163,0.035923963564972974,17527705666.1,-5.350000000000364,47.4330218068536
2019-09-27,8113.1,8271.52,7965.92,8251.85,8251.85,16408941156.0,8234.159333333333,7996.1841,0.0007191435279507719,0.0353184872881801,16988232721.266666,138.75,48.01011026795627
2019-09-26,8487.67,8515.69,7895.63,8118.97,8118.97,19258205289.0,8196.626,8003.267199999999,-0.016103055678423628,0.035002234616892426,16146964377.266666,-368.6999999999998,35.61361398325954
2019-09-25,8603.43,8744.83,8325.4,8486.99,8486.99,21744728353.0,8190.835666666667,8014.6883,0.04532840988450504,0.03424090739242277,15914953139.433332,-116.44000000000051,47.25870283078319
2019-09-24,9729.32,9804.32,8370.8,8620.57,8620.57,25002886689.0,8228.405,8031.0393,0.01573938463459945,0.02301062520881699,16206092400.766666,-1108.75,61.192912688481634
2019-09-23,10067.96,10074.24,9727.14,9729.32,9729.32,15144925408.0,8302.226666666666,8056.3308,0.12861678520097852,0.03222802990079111,15979493949.1,-338.6399999999994,76.10236165062203
2019-09-22,10024.12,10074.44,9922.53,10070.39,10070.39,13199651698.0,8368.633,8085.0987,0.03505589290926814,0.03017298299360038,15859369743.8,46.26999999999862,85.58528073719359
2019-09-21,10183.65,10188.1,10000.71,10019.72,10019.72,13425266806.0,8427.833,8112.3659,-0.005031582689448921,0.030162522410674693,15777920341.8,-163.9300000000003,83.20666045744427
2019-09-20,10266.32,10285.87,10132.19,10181.64,10181.64,14734189639.0,8493.151666666667,8139.9558,0.016160132219263712,0.03015198330385591,15752251681.7,-84.68000000000029,83.82468755350106
2019-09-19,10200.5,10295.67,9851.69,10266.42,10266.42,19937691247.0,8569.080333333333,8169.4401,0.008326752861032238,0.02937667303553815,15956913868.6,65.92000000000007,83.99311473521206
2019-09-18,10247.8,10275.93,10191.47,10198.25,10198.25,16169268880.0,8643.248333333333,8198.521700000001,-0.006640094599675406,0.02944857627773297,15974169744.266666,-49.54999999999927,81.27150207008849
2019-09-17,10281.51,10296.77,10199.74,10241.27,10241.27,15304603363.0,8714.493666666667,8228.5447,0.00421837079891163,0.02942190712283225,16007221448.233334,-40.23999999999978,82.95567802584375
2019-09-16,10347.22,10386.87,10189.74,10276.79,10276.79,15160167779.0,8788.802333333333,8258.561,0.0034683198470502052,0.029297616486293622,15976838807.666666,-70.42999999999847,84.59723908825701
2019-09-15,10356.47,10387.04,10313.09,10347.71,10347.71,12043433567.0,8860.213666666668,8288.8128,0.006900987565183092,0.029224372403085508,15870939505.5,-8.760000000000218,90.8364155284387
2019-09-14,10345.4,10422.13,10291.69,10358.05,10358.05,13468713124.0,8926.325666666668,8318.837,0.0009992549076076607,0.029155054374084454,15814850347.666666,12.649999999999636,90.37609392981261
2019-09-13,10415.36,10441.49,10226.6,10360.55,10360.55,14109864675.0,8994.310333333333,8347.3266,0.00024135817069814713,0.029070785706352277,15824902968.2,-54.81000000000131,90.36345678256141
2019-09-12,10176.82,10442.25,10099.24,10410.13,10410.13,15323563925.0,9063.429333333333,8379.5163,0.004785460231358396,0.029055403607327508,15851267045.533333,233.3099999999995,95.30061213837173
2019-09-11,10123.04,10215.95,9980.78,10178.37,10178.37,15428063426.0,9125.316333333332,8409.1118,-0.022262930434105876,0.029525690517191387,15712056456.366667,55.32999999999993,85.34636250407515
2019-09-10,10336.41,10394.35,10020.57,10115.98,10115.98,14906809639.0,9176.3,8438.243199999999,-0.006129665162496689,0.02924367296469699,15621661421.966667,-220.4300000000003,82.2093659402341
2019-09-09,10443.23,10450.31,10144.93,10334.97,10334.97,17595943368.0,9234.274333333335,8468.8249,0.021647927338725337,0.02936825987716053,15562028123.133333,-108.26000000000022,71.15246257762132
2019-09-08,10518.11,10595.64,10409.09,10441.28,10441.28,13670567493.0,9308.024333333333,8506.8325,0.010286435277509387,0.027858734776526457,15497971571.833334,-76.82999999999993,65.49416394428806
2019-09-07,10353.93,10558.67,10348.92,10517.25,10517.25,15307366476.0,9383.745333333332,8542.6802,0.007275927855588504,0.027834447251609128,15407892367.466667,163.3199999999997,70.35436968670481
2019-09-06,10578.2,10898.76,10292.3,10353.3,10353.3,19536574783.0,9462.583333333334,8574.690200000001,-0.01558867574698719,0.027204273319668387,15620417183.4,-224.90000000000146,57.01110929586668
2019-09-05,10588.18,10627.27,10516.42,10575.53,10575.53,14551239508.0,9543.384333333333,8609.198799999998,0.02146465378188611,0.027219632299475088,15698775260.433332,-12.649999999999636,61.35056732640547
2019-09-04,10621.18,10762.64,10434.71,10594.49,10594.49,16742664769.0,9623.002666666667,8642.4469,0.0017928179486039753,0.027248934984941235,15818882211.766666,-26.69000000000051,65.09554722501599
2019-09-03,10345.73,10736.1,10308.55,10623.54,10623.54,19384917989.0,9701.787666666667,8676.251,0.0027419913558841547,0.027269180596034795,16009418697.766666,277.8100000000013,64.72001663496269
2019-09-02,9757.47,10396.59,9730.65,10346.76,10346.76,17248102294.0,9766.911666666665,8707.5443,-0.026053462405187022,0.02795539848029596,16146831692.8,589.2900000000009,52.272151610996715
2019-09-01,9630.59,9796.76,9582.94,9757.97,9757.97,11445355859.0,9814.068000000001,8732.342799999999,-0.05690573667505583,0.030246261641708478,16018165441.0,127.3799999999992,35.669226283048246
2019-08-31,9597.54,9673.22,9531.8,9630.66,9630.66,11454806419.0,9858.627666666665,8754.6404,-0.013046770998476065,0.030368050532103993,15829476515.533333,33.11999999999898,33.27508426953378
